id_empresa;codigo_provincia_2015;provincia_2015;codigo_provincia_2014;provincia_2014;codigo_provincia_2013;provincia_2013;codigo_provincia_2012;provincia_2012;codigo_canton_2015;canton_2015;codigo_canton_2014;canton_2014;codigo_canton_2013;canton_2013;codigo_canton_2012;canton_2012;empleados2015;empleados2014;empleados2013;empleados2012;emp_hombres_2015;emp_hombres_2014;emp_hombres_2013;emp_hombres_2012;emp_mujeres_2015;emp_mujeres_2014;emp_mujeres_2013;emp_mujeres_2012;ventas_totales2015;ventas_totales2014;ventas_totales2013;ventas_totales2012;id_nuevo
13705397095;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;12;12;12;12;10;10;10;10;2;2;2;2;668228;632347;570437;494000;13705397095
13705398091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;368;355;248;209;235;237;179;138;133;118;69;71;37233418;45819569;28265592;15024585;13705398091
13705403095;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;366;368;364;362;348;350;345;343;18;18;19;19;25965537;22749066;32668021;26623802;13705403095
13705406094;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;43;44;47;61;29;31;32;46;14;13;15;15;4666049;5041063;6179873;6407592;13705406094
13705408097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;47;47;42;42;26;25;24;25;21;22;18;17;1693081;1588505;1450668;1585343;13705408097
13705413091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;156;165;162;163;104;105;104;103;52;60;58;60;3590492;4171915;3696796;3703295;13705413091
13705414097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;42;43;40;52;10;12;13;14;32;31;27;38;3685810;4481088;4250489;4378604;13705414097
13705417096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;352;356;238;234;317;325;221;218;35;31;17;16;17054827;22932995;17308719;10725674;13705417096
13705427091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;55;61;62;56;45;50;53;47;10;11;9;9;8215148;8256684;8423698;8380554;13705427091
13705435094;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;916;Samborondón  ;224;230;210;210;174;183;166;164;50;47;44;46;28557293;28549986;24917184;22616690;13705435094
13705438093;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;21;21;22;21;19;19;20;18;2;2;2;3;376031;388447;326170;276990;13705438093
13705439090;13;Manabí        ;13;Manabí        ;13;Manabí        ;9;Guayas         ;1304;El Carmen     ;1304;El Carmen     ;1304;El Carmen     ;901;Guayaquil     ;144;113;115;149;131;102;104;138;13;11;11;11;5718072;3929529;2240110;4114997;13705439090
13705442091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;21;22;20;20;8;9;7;7;13;13;13;13;1699995;1558430;1626002;1338409;13705442091
13705450093;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;17;19;20;21;11;12;13;13;6;7;7;8;64039;85310;127522;89890;13705450093
13705451090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;123;140;151;156;88;98;106;112;35;42;45;44;3146352;3961022;3880696;3581960;13705451090
13705452096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;56;52;46;47;40;36;32;33;16;16;14;14;7921702;11992669;10421152;9107111;13705452096
13705453092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;104;103;99;94;5;6;6;7;99;97;93;87;4863851;5744705;5710800;5368343;13705453092
13705454099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;109;106;106;101;86;84;83;77;23;22;23;24;129267911;134163849;118083385;95220498;13705454099
13705455095;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;183;145;137;116;170;134;125;106;13;11;12;10;14251368;13800622;16213995;10316791;13705455095
13705459091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;741;701;664;693;235;225;192;207;506;476;472;486;42104744;45732871;43264944;44676987;13705459091
13705462091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;26;29;25;24;4;5;5;5;22;24;20;19;772604;745358;719462;650873;13705462091
13705463098;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;906;Daule         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;108;76;41;22;102;62;27;12;6;14;14;10;2991555;2557377;1465514;2260128;13705463098
13705464094;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;84;80;90;48;66;62;70;32;18;18;20;16;13886535;12550283;14698044;15598700;13705464094
13705471091;18;Tungurahua     ;18;Tungurahua     ;18;Tungurahua     ;9;Guayas         ;1807;San Pedro de P;1807;San Pedro de P;1807;San Pedro de P;901;Guayaquil     ;295;296;311;173;202;200;210;105;93;96;101;68;15182824;15887753;14537492;12619139;13705471091
13705472097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;43;41;36;36;23;23;22;22;20;18;14;14;6697324;7202380;7702339;5955024;13705472097
13705474090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;916;Samborondón  ;916;Samborondón  ;916;Samborondón  ;916;Samborondón  ;39;36;33;33;33;31;30;31;6;5;3;2;6658440;6170858;3661925;4188658;13705474090
13705475096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;1056;1138;1153;1130;930;1015;1039;1017;126;123;114;113;449561412;513836276;532954610;476208675;13705475096
13705476092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;363;379;422;431;260;265;295;312;103;114;127;119;12681041;12582715;12286028;12307906;13705476092
13705479091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;200;152;95;108;139;104;60;68;61;48;35;40;9942515;10201116;9340064;7225080;13705479091
13705481096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;184;134;119;122;170;126;112;116;14;8;7;6;6878190;11508700;5926379;4938708;13705481096
13705483099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;188;188;164;186;158;155;129;151;30;33;35;35;24316327;26185720;22316233;19589620;13705483099
